ID,Education qualification,Area of study,Sex,Year,sum_of_graduates,sum_of_median_income
144,Doctoral degree,Other instructional programs,Female,2013,40,83400
1,"Career, technical or professional training certificate",Education,Male,2014,140,43700
2,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies",Male,2014,690,32600
3,"Career, technical or professional training certificate",Humanities,Male,2014,750,32600
4,"Career, technical or professional training certificate",Social and behavioural sciences and law,Male,2014,350,35000
5,"Career, technical or professional training certificate","Business, management and public administration",Male,2014,1420,48500
6,"Career, technical or professional training certificate",Physical and life sciences and technologies,Male,2014,10,NA
7,"Career, technical or professional training certificate","Mathematics, computer and information sciences",Male,2014,390,51300
8,"Career, technical or professional training certificate","Architecture, engineering, and related technologies",Male,2014,11880,52000
9,"Career, technical or professional training certificate","Agriculture, natural resources and conservation",Male,2014,240,52900
10,"Career, technical or professional training certificate",Health and related fields,Male,2014,1900,49900
11,"Career, technical or professional training certificate","Personal, protective and transportation services",Male,2014,2430,48400
12,"Career, technical or professional training certificate",Other instructional programs,Male,2014,20,NA
13,"Career, technical or professional training diploma",Education,Male,2014,300,54700
14,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies",Male,2014,2140,36600
15,"Career, technical or professional training diploma",Humanities,Male,2014,760,41900
16,"Career, technical or professional training diploma",Social and behavioural sciences and law,Male,2014,1590,45000
17,"Career, technical or professional training diploma","Business, management and public administration",Male,2014,8840,48000
18,"Career, technical or professional training diploma",Physical and life sciences and technologies,Male,2014,590,49400
19,"Career, technical or professional training diploma","Mathematics, computer and information sciences",Male,2014,2090,56000
20,"Career, technical or professional training diploma","Architecture, engineering, and related technologies",Male,2014,13110,61200
21,"Career, technical or professional training diploma","Agriculture, natural resources and conservation",Male,2014,1020,50500
22,"Career, technical or professional training diploma",Health and related fields,Male,2014,3400,57100
23,"Career, technical or professional training diploma","Personal, protective and transportation services",Male,2014,4410,51500
24,"Career, technical or professional training diploma",Other instructional programs,Male,2014,110,49800
25,Undergraduate degree,Education,Male,2014,3970,63200
26,Undergraduate degree,"Visual and performing arts, and communications technologies",Male,2014,2250,40300
27,Undergraduate degree,Humanities,Male,2014,4380,50500
28,Undergraduate degree,Social and behavioural sciences and law,Male,2014,10160,57200
29,Undergraduate degree,"Business, management and public administration",Male,2014,15020,68500
30,Undergraduate degree,Physical and life sciences and technologies,Male,2014,4660,59200
31,Undergraduate degree,"Mathematics, computer and information sciences",Male,2014,2730,76500
32,Undergraduate degree,"Architecture, engineering, and related technologies",Male,2014,9960,79200
33,Undergraduate degree,"Agriculture, natural resources and conservation",Male,2014,1020,61700
34,Undergraduate degree,Health and related fields,Male,2014,3880,67300
35,Undergraduate degree,"Personal, protective and transportation services",Male,2014,570,70500
36,Undergraduate degree,Other instructional programs,Male,2014,360,59700
37,Professional degree,Education,Male,2014,NA,NA
38,Professional degree,"Visual and performing arts, and communications technologies",Male,2014,NA,NA
39,Professional degree,Humanities,Male,2014,NA,NA
40,Professional degree,Social and behavioural sciences and law,Male,2014,1550,100200
41,Professional degree,"Business, management and public administration",Male,2014,NA,NA
42,Professional degree,Physical and life sciences and technologies,Male,2014,NA,NA
43,Professional degree,"Mathematics, computer and information sciences",Male,2014,NA,NA
44,Professional degree,"Architecture, engineering, and related technologies",Male,2014,NA,NA
45,Professional degree,"Agriculture, natural resources and conservation",Male,2014,NA,NA
46,Professional degree,Health and related fields,Male,2014,1480,115800
47,Professional degree,"Personal, protective and transportation services",Male,2014,NA,NA
48,Professional degree,Other instructional programs,Male,2014,NA,NA
49,Master's degree,Education,Male,2014,1010,93900
50,Master's degree,"Visual and performing arts, and communications technologies",Male,2014,310,40700
51,Master's degree,Humanities,Male,2014,590,54300
52,Master's degree,Social and behavioural sciences and law,Male,2014,1570,73300
53,Master's degree,"Business, management and public administration",Male,2014,5140,102300
54,Master's degree,Physical and life sciences and technologies,Male,2014,910,69400
55,Master's degree,"Mathematics, computer and information sciences",Male,2014,1070,85300
56,Master's degree,"Architecture, engineering, and related technologies",Male,2014,3740,81900
57,Master's degree,"Agriculture, natural resources and conservation",Male,2014,410,70700
58,Master's degree,Health and related fields,Male,2014,1090,81300
59,Master's degree,"Personal, protective and transportation services",Male,2014,80,96000
60,Master's degree,Other instructional programs,Male,2014,70,78600
61,Doctoral degree,Education,Male,2014,90,106800
62,Doctoral degree,"Visual and performing arts, and communications technologies",Male,2014,70,44700
63,Doctoral degree,Humanities,Male,2014,190,74900
64,Doctoral degree,Social and behavioural sciences and law,Male,2014,390,94400
65,Doctoral degree,"Business, management and public administration",Male,2014,100,132500
66,Doctoral degree,Physical and life sciences and technologies,Male,2014,700,81400
67,Doctoral degree,"Mathematics, computer and information sciences",Male,2014,210,99600
68,Doctoral degree,"Architecture, engineering, and related technologies",Male,2014,820,100500
69,Doctoral degree,"Agriculture, natural resources and conservation",Male,2014,90,73100
70,Doctoral degree,Health and related fields,Male,2014,170,103400
71,Doctoral degree,"Personal, protective and transportation services",Male,2014,0,NA
72,Doctoral degree,Other instructional programs,Male,2014,20,NA
73,"Career, technical or professional training certificate",Education,Female,2014,860,32800
74,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies",Female,2014,990,30600
75,"Career, technical or professional training certificate",Humanities,Female,2014,1100,32700
76,"Career, technical or professional training certificate",Social and behavioural sciences and law,Female,2014,1830,36300
77,"Career, technical or professional training certificate","Business, management and public administration",Female,2014,4780,40700
78,"Career, technical or professional training certificate",Physical and life sciences and technologies,Female,2014,20,NA
79,"Career, technical or professional training certificate","Mathematics, computer and information sciences",Female,2014,200,48100
80,"Career, technical or professional training certificate","Architecture, engineering, and related technologies",Female,2014,1290,42300
81,"Career, technical or professional training certificate","Agriculture, natural resources and conservation",Female,2014,180,31000
82,"Career, technical or professional training certificate",Health and related fields,Female,2014,10670,39600
83,"Career, technical or professional training certificate","Personal, protective and transportation services",Female,2014,2290,31000
84,"Career, technical or professional training certificate",Other instructional programs,Female,2014,0,NA
85,"Career, technical or professional training diploma",Education,Female,2014,1750,37800
86,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies",Female,2014,3000,34400
87,"Career, technical or professional training diploma",Humanities,Female,2014,770,37300
88,"Career, technical or professional training diploma",Social and behavioural sciences and law,Female,2014,8930,38400
89,"Career, technical or professional training diploma","Business, management and public administration",Female,2014,13330,41800
90,"Career, technical or professional training diploma",Physical and life sciences and technologies,Female,2014,590,43300
91,"Career, technical or professional training diploma","Mathematics, computer and information sciences",Female,2014,740,44600
92,"Career, technical or professional training diploma","Architecture, engineering, and related technologies",Female,2014,2050,50100
93,"Career, technical or professional training diploma","Agriculture, natural resources and conservation",Female,2014,760,39700
94,"Career, technical or professional training diploma",Health and related fields,Female,2014,13840,49400
95,"Career, technical or professional training diploma","Personal, protective and transportation services",Female,2014,3460,38100
96,"Career, technical or professional training diploma",Other instructional programs,Female,2014,50,37300
97,Undergraduate degree,Education,Female,2014,12520,56200
98,Undergraduate degree,"Visual and performing arts, and communications technologies",Female,2014,4390,39400
99,Undergraduate degree,Humanities,Female,2014,8370,48100
100,Undergraduate degree,Social and behavioural sciences and law,Female,2014,21570,50900
101,Undergraduate degree,"Business, management and public administration",Female,2014,17220,59400
102,Undergraduate degree,Physical and life sciences and technologies,Female,2014,6340,57800
103,Undergraduate degree,"Mathematics, computer and information sciences",Female,2014,860,65600
104,Undergraduate degree,"Architecture, engineering, and related technologies",Female,2014,2720,67800
105,Undergraduate degree,"Agriculture, natural resources and conservation",Female,2014,1360,54100
106,Undergraduate degree,Health and related fields,Female,2014,14520,69700
107,Undergraduate degree,"Personal, protective and transportation services",Female,2014,540,56900
108,Undergraduate degree,Other instructional programs,Female,2014,790,52100
109,Professional degree,Education,Female,2014,NA,NA
110,Professional degree,"Visual and performing arts, and communications technologies",Female,2014,NA,NA
111,Professional degree,Humanities,Female,2014,NA,NA
112,Professional degree,Social and behavioural sciences and law,Female,2014,2080,85600
113,Professional degree,"Business, management and public administration",Female,2014,NA,NA
114,Professional degree,Physical and life sciences and technologies,Female,2014,NA,NA
115,Professional degree,"Mathematics, computer and information sciences",Female,2014,NA,NA
116,Professional degree,"Architecture, engineering, and related technologies",Female,2014,NA,NA
117,Professional degree,"Agriculture, natural resources and conservation",Female,2014,NA,NA
118,Professional degree,Health and related fields,Female,2014,2400,102500
119,Professional degree,"Personal, protective and transportation services",Female,2014,NA,NA
120,Professional degree,Other instructional programs,Female,2014,NA,NA
121,Master's degree,Education,Female,2014,3270,82600
122,Master's degree,"Visual and performing arts, and communications technologies",Female,2014,530,39400
123,Master's degree,Humanities,Female,2014,900,50200
124,Master's degree,Social and behavioural sciences and law,Female,2014,3150,62800
125,Master's degree,"Business, management and public administration",Female,2014,5470,80300
126,Master's degree,Physical and life sciences and technologies,Female,2014,1080,60100
127,Master's degree,"Mathematics, computer and information sciences",Female,2014,890,68000
128,Master's degree,"Architecture, engineering, and related technologies",Female,2014,1490,67600
129,Master's degree,"Agriculture, natural resources and conservation",Female,2014,670,63500
130,Master's degree,Health and related fields,Female,2014,3900,75800
131,Master's degree,"Personal, protective and transportation services",Female,2014,30,74700
132,Master's degree,Other instructional programs,Female,2014,130,72900
133,Doctoral degree,Education,Female,2014,240,96800
134,Doctoral degree,"Visual and performing arts, and communications technologies",Female,2014,70,37100
135,Doctoral degree,Humanities,Female,2014,220,65000
136,Doctoral degree,Social and behavioural sciences and law,Female,2014,670,84900
137,Doctoral degree,"Business, management and public administration",Female,2014,100,107700
138,Doctoral degree,Physical and life sciences and technologies,Female,2014,540,70100
139,Doctoral degree,"Mathematics, computer and information sciences",Female,2014,80,88900
140,Doctoral degree,"Architecture, engineering, and related technologies",Female,2014,230,84900
141,Doctoral degree,"Agriculture, natural resources and conservation",Female,2014,80,62600
142,Doctoral degree,Health and related fields,Female,2014,290,101100
143,Doctoral degree,"Personal, protective and transportation services",Female,2014,NA,NA
144,Doctoral degree,Other instructional programs,Female,2014,40,95300
1,"Career, technical or professional training certificate",Education,Male,2015,120,42100
2,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies",Male,2015,740,25300
3,"Career, technical or professional training certificate",Humanities,Male,2015,670,31500
4,"Career, technical or professional training certificate",Social and behavioural sciences and law,Male,2015,250,37500
5,"Career, technical or professional training certificate","Business, management and public administration",Male,2015,1380,49300
6,"Career, technical or professional training certificate",Physical and life sciences and technologies,Male,2015,10,NA
7,"Career, technical or professional training certificate","Mathematics, computer and information sciences",Male,2015,470,55200
8,"Career, technical or professional training certificate","Architecture, engineering, and related technologies",Male,2015,11630,48600
9,"Career, technical or professional training certificate","Agriculture, natural resources and conservation",Male,2015,260,46600
10,"Career, technical or professional training certificate",Health and related fields,Male,2015,1800,50500
11,"Career, technical or professional training certificate","Personal, protective and transportation services",Male,2015,2350,47200
12,"Career, technical or professional training certificate",Other instructional programs,Male,2015,0,NA
13,"Career, technical or professional training diploma",Education,Male,2015,340,57700
14,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies",Male,2015,2270,34900
15,"Career, technical or professional training diploma",Humanities,Male,2015,720,38600
16,"Career, technical or professional training diploma",Social and behavioural sciences and law,Male,2015,1760,43900
17,"Career, technical or professional training diploma","Business, management and public administration",Male,2015,9270,47500
18,"Career, technical or professional training diploma",Physical and life sciences and technologies,Male,2015,600,49200
19,"Career, technical or professional training diploma","Mathematics, computer and information sciences",Male,2015,2450,57400
20,"Career, technical or professional training diploma","Architecture, engineering, and related technologies",Male,2015,13200,58600
21,"Career, technical or professional training diploma","Agriculture, natural resources and conservation",Male,2015,1000,51100
22,"Career, technical or professional training diploma",Health and related fields,Male,2015,3240,59200
23,"Career, technical or professional training diploma","Personal, protective and transportation services",Male,2015,4460,53300
24,"Career, technical or professional training diploma",Other instructional programs,Male,2015,90,52800
25,Undergraduate degree,Education,Male,2015,3810,64100
26,Undergraduate degree,"Visual and performing arts, and communications technologies",Male,2015,2360,38300
27,Undergraduate degree,Humanities,Male,2015,4140,50300
28,Undergraduate degree,Social and behavioural sciences and law,Male,2015,10510,58800
29,Undergraduate degree,"Business, management and public administration",Male,2015,15010,68800
30,Undergraduate degree,Physical and life sciences and technologies,Male,2015,4720,60500
31,Undergraduate degree,"Mathematics, computer and information sciences",Male,2015,3080,78700
32,Undergraduate degree,"Architecture, engineering, and related technologies",Male,2015,10690,79100
33,Undergraduate degree,"Agriculture, natural resources and conservation",Male,2015,970,58900
34,Undergraduate degree,Health and related fields,Male,2015,4020,66800
35,Undergraduate degree,"Personal, protective and transportation services",Male,2015,580,71800
36,Undergraduate degree,Other instructional programs,Male,2015,400,60900
37,Professional degree,Education,Male,2015,NA,NA
38,Professional degree,"Visual and performing arts, and communications technologies",Male,2015,NA,NA
39,Professional degree,Humanities,Male,2015,NA,NA
40,Professional degree,Social and behavioural sciences and law,Male,2015,1570,103600
41,Professional degree,"Business, management and public administration",Male,2015,NA,NA
42,Professional degree,Physical and life sciences and technologies,Male,2015,NA,NA
43,Professional degree,"Mathematics, computer and information sciences",Male,2015,NA,NA
44,Professional degree,"Architecture, engineering, and related technologies",Male,2015,NA,NA
45,Professional degree,"Agriculture, natural resources and conservation",Male,2015,NA,NA
46,Professional degree,Health and related fields,Male,2015,1520,120800
47,Professional degree,"Personal, protective and transportation services",Male,2015,NA,NA
48,Professional degree,Other instructional programs,Male,2015,NA,NA
49,Master's degree,Education,Male,2015,1150,93200
50,Master's degree,"Visual and performing arts, and communications technologies",Male,2015,270,37300
51,Master's degree,Humanities,Male,2015,650,52800
52,Master's degree,Social and behavioural sciences and law,Male,2015,1600,74400
53,Master's degree,"Business, management and public administration",Male,2015,5240,100800
54,Master's degree,Physical and life sciences and technologies,Male,2015,910,70100
55,Master's degree,"Mathematics, computer and information sciences",Male,2015,1110,92500
56,Master's degree,"Architecture, engineering, and related technologies",Male,2015,4090,81300
57,Master's degree,"Agriculture, natural resources and conservation",Male,2015,420,72200
58,Master's degree,Health and related fields,Male,2015,1180,81900
59,Master's degree,"Personal, protective and transportation services",Male,2015,70,95900
60,Master's degree,Other instructional programs,Male,2015,70,89700
61,Doctoral degree,Education,Male,2015,100,99700
62,Doctoral degree,"Visual and performing arts, and communications technologies",Male,2015,70,47700
63,Doctoral degree,Humanities,Male,2015,220,66000
64,Doctoral degree,Social and behavioural sciences and law,Male,2015,380,95200
65,Doctoral degree,"Business, management and public administration",Male,2015,100,118700
66,Doctoral degree,Physical and life sciences and technologies,Male,2015,760,80500
67,Doctoral degree,"Mathematics, computer and information sciences",Male,2015,220,111200
68,Doctoral degree,"Architecture, engineering, and related technologies",Male,2015,920,100100
69,Doctoral degree,"Agriculture, natural resources and conservation",Male,2015,100,81200
70,Doctoral degree,Health and related fields,Male,2015,160,99600
71,Doctoral degree,"Personal, protective and transportation services",Male,2015,NA,NA
72,Doctoral degree,Other instructional programs,Male,2015,20,85200
73,"Career, technical or professional training certificate",Education,Female,2015,830,30700
74,"Career, technical or professional training certificate","Visual and performing arts, and communications technologies",Female,2015,910,26200
75,"Career, technical or professional training certificate",Humanities,Female,2015,1090,32100
76,"Career, technical or professional training certificate",Social and behavioural sciences and law,Female,2015,1940,34000
77,"Career, technical or professional training certificate","Business, management and public administration",Female,2015,4540,39800
78,"Career, technical or professional training certificate",Physical and life sciences and technologies,Female,2015,NA,NA
79,"Career, technical or professional training certificate","Mathematics, computer and information sciences",Female,2015,180,39400
80,"Career, technical or professional training certificate","Architecture, engineering, and related technologies",Female,2015,1370,39000
81,"Career, technical or professional training certificate","Agriculture, natural resources and conservation",Female,2015,260,27000
82,"Career, technical or professional training certificate",Health and related fields,Female,2015,10380,40700
83,"Career, technical or professional training certificate","Personal, protective and transportation services",Female,2015,2150,26800
84,"Career, technical or professional training certificate",Other instructional programs,Female,2015,10,NA
85,"Career, technical or professional training diploma",Education,Female,2015,1810,38700
86,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies",Female,2015,3130,31900
87,"Career, technical or professional training diploma",Humanities,Female,2015,750,35200
88,"Career, technical or professional training diploma",Social and behavioural sciences and law,Female,2015,9660,35400
89,"Career, technical or professional training diploma","Business, management and public administration",Female,2015,14170,40700
90,"Career, technical or professional training diploma",Physical and life sciences and technologies,Female,2015,690,46000
91,"Career, technical or professional training diploma","Mathematics, computer and information sciences",Female,2015,840,44700
92,"Career, technical or professional training diploma","Architecture, engineering, and related technologies",Female,2015,2180,48900
93,"Career, technical or professional training diploma","Agriculture, natural resources and conservation",Female,2015,800,38700
94,"Career, technical or professional training diploma",Health and related fields,Female,2015,13710,50600
95,"Career, technical or professional training diploma","Personal, protective and transportation services",Female,2015,3360,36000
96,"Career, technical or professional training diploma",Other instructional programs,Female,2015,20,59300
97,Undergraduate degree,Education,Female,2015,12160,57000
98,Undergraduate degree,"Visual and performing arts, and communications technologies",Female,2015,4310,36500
99,Undergraduate degree,Humanities,Female,2015,7290,47200
100,Undergraduate degree,Social and behavioural sciences and law,Female,2015,22430,51100
101,Undergraduate degree,"Business, management and public administration",Female,2015,17170,60500
102,Undergraduate degree,Physical and life sciences and technologies,Female,2015,6820,57400
103,Undergraduate degree,"Mathematics, computer and information sciences",Female,2015,940,68700
104,Undergraduate degree,"Architecture, engineering, and related technologies",Female,2015,2880,68900
105,Undergraduate degree,"Agriculture, natural resources and conservation",Female,2015,1410,54200
106,Undergraduate degree,Health and related fields,Female,2015,14780,72100
107,Undergraduate degree,"Personal, protective and transportation services",Female,2015,670,54900
108,Undergraduate degree,Other instructional programs,Female,2015,850,53300
109,Professional degree,Education,Female,2015,NA,NA
110,Professional degree,"Visual and performing arts, and communications technologies",Female,2015,NA,NA
111,Professional degree,Humanities,Female,2015,NA,NA
112,Professional degree,Social and behavioural sciences and law,Female,2015,1990,87400
113,Professional degree,"Business, management and public administration",Female,2015,NA,NA
114,Professional degree,Physical and life sciences and technologies,Female,2015,NA,NA
115,Professional degree,"Mathematics, computer and information sciences",Female,2015,NA,NA
116,Professional degree,"Architecture, engineering, and related technologies",Female,2015,NA,NA
117,Professional degree,"Agriculture, natural resources and conservation",Female,2015,NA,NA
118,Professional degree,Health and related fields,Female,2015,2420,102100
119,Professional degree,"Personal, protective and transportation services",Female,2015,NA,NA
120,Professional degree,Other instructional programs,Female,2015,NA,NA
121,Master's degree,Education,Female,2015,3460,84900
122,Master's degree,"Visual and performing arts, and communications technologies",Female,2015,520,38800
123,Master's degree,Humanities,Female,2015,860,50100
124,Master's degree,Social and behavioural sciences and law,Female,2015,3330,65600
125,Master's degree,"Business, management and public administration",Female,2015,5720,82300
126,Master's degree,Physical and life sciences and technologies,Female,2015,1070,64600
127,Master's degree,"Mathematics, computer and information sciences",Female,2015,860,70000
128,Master's degree,"Architecture, engineering, and related technologies",Female,2015,1620,68600
129,Master's degree,"Agriculture, natural resources and conservation",Female,2015,680,63500
130,Master's degree,Health and related fields,Female,2015,4230,75100
131,Master's degree,"Personal, protective and transportation services",Female,2015,40,70300
132,Master's degree,Other instructional programs,Female,2015,150,74800
133,Doctoral degree,Education,Female,2015,250,100400
134,Doctoral degree,"Visual and performing arts, and communications technologies",Female,2015,50,48100
135,Doctoral degree,Humanities,Female,2015,240,71400
136,Doctoral degree,Social and behavioural sciences and law,Female,2015,740,82100
137,Doctoral degree,"Business, management and public administration",Female,2015,100,112400
138,Doctoral degree,Physical and life sciences and technologies,Female,2015,610,74300
139,Doctoral degree,"Mathematics, computer and information sciences",Female,2015,80,101400
140,Doctoral degree,"Architecture, engineering, and related technologies",Female,2015,260,91200
141,Doctoral degree,"Agriculture, natural resources and conservation",Female,2015,90,70000
142,Doctoral degree,Health and related fields,Female,2015,360,99100
143,Doctoral degree,"Personal, protective and transportation services",Female,2015,NA,NA
144,Doctoral degree,Other instructional programs,Female,2015,40,89000
